epoch,acc,categorical_accuracy,loss,val_acc,val_categorical_accuracy,val_loss
0,0.6266833327710628,0.6266833327710628,1.1314569801092147,0.8556999921798706,0.8556999921798706,0.46478994786739347
1,0.8732000013192495,0.8732000013192495,0.4037306154767672,0.9007000088691711,0.9007000088691711,0.30419550836086273
2,0.9166833360989889,0.9166833360989889,0.2738059508303801,0.936599999666214,0.936599999666214,0.1949029415845871
3,0.9353499988714854,0.9353499988714854,0.20803807228803634,0.9528999865055084,0.9528999865055084,0.14881782978773117
4,0.9486333300669988,0.9486333300669988,0.16566510424017905,0.9614000022411346,0.9614000022411346,0.1239225696772337
5,0.9563500006993612,0.9563500006993612,0.14100291517873606,0.9702000021934509,0.9702000021934509,0.09349847845733165
6,0.9626666675011317,0.9626666675011317,0.12152415588498115,0.9740000009536743,0.9740000009536743,0.08236712366342544
7,0.9675333350896835,0.9675333350896835,0.10537853178878626,0.9735000014305115,0.9735000014305115,0.08492742218077183
8,0.9704333355029424,0.9704333355029424,0.0951229869077603,0.9736000001430511,0.9736000001430511,0.08230497501790524
9,0.9739666670560837,0.9739666670560837,0.0837622061992685,0.9825000047683716,0.9825000047683716,0.056579452380537985
10,0.9761500010887781,0.9761500010887781,0.0756600641955932,0.9816999971866608,0.9816999971866608,0.05949080549180508
11,0.9771500011285146,0.9771500011285146,0.07133614035944144,0.9826999962329864,0.9826999962329864,0.0542831227183342
12,0.9793166627486547,0.9793166627486547,0.0659877409848074,0.9846999943256378,0.9846999943256378,0.0497936837375164
13,0.9816333343585332,0.9816333343585332,0.0576773217258354,0.9817000031471252,0.9817000031471252,0.059211164340376855
14,0.9830000003178915,0.9830000003178915,0.056321372153858344,0.9872999906539917,0.9872999906539917,0.0409710512496531
15,0.9838666677474975,0.9838666677474975,0.05143525988484422,0.9836999952793122,0.9836999952793122,0.05164271648973227
16,0.9854499975840251,0.9854499975840251,0.04780466969435414,0.9862999975681305,0.9862999975681305,0.04370822878554463
17,0.9860000014305115,0.9860000014305115,0.04555338841552536,0.9869000017642975,0.9869000017642975,0.042402062378823754
18,0.9913833310206731,0.9913833310206731,0.029655884547779957,0.9892000019550323,0.9892000019550323,0.03441606191918254
19,0.9916999936103821,0.9916999936103821,0.027684664136419693,0.9898000061511993,0.9898000061511993,0.03414579881355166
20,0.9921333303054174,0.9921333303054174,0.02685278037873407,0.9895000040531159,0.9895000040531159,0.034467823710292576
21,0.9926999946435292,0.9926999946435292,0.026082652186354003,0.9884000062942505,0.9884000062942505,0.03487426796928048
22,0.9925499965747198,0.9925499965747198,0.02588184247724712,0.9895999968051911,0.9895999968051911,0.03411253234371543
23,0.9926999946435292,0.9926999946435292,0.025316272939865787,0.9898000001907349,0.9898000001907349,0.033641629852354527
24,0.9930499921242396,0.9930499921242396,0.02476852897865077,0.9893999993801117,0.9893999993801117,0.03379551228135824
25,0.9930833270152409,0.9930833270152409,0.02431813986040652,0.9898000121116638,0.9898000121116638,0.033501461055129765
26,0.9930666605631511,0.9930666605631511,0.023860958901544414,0.9893000006675721,0.9893000006675721,0.0339728532359004
27,0.9935166597366333,0.9935166597366333,0.023520113822693627,0.989299988746643,0.989299988746643,0.03367840507999063
28,0.993449995915095,0.993449995915095,0.02315070782788098,0.9887999951839447,0.9887999951839447,0.03388238698244095
29,0.9938833316167196,0.9938833316167196,0.021944777962441247,0.9896000027656555,0.9896000027656555,0.03333465289324522
30,0.9940166652202607,0.9940166652202607,0.021756754986320934,0.9897000014781951,0.9897000014781951,0.033260850608348845
31,0.994066662589709,0.994066662589709,0.021687549895917375,0.9896000027656555,0.9896000027656555,0.033231583423912525
32,0.9941166619459788,0.9941166619459788,0.021631780934209626,0.9898000001907349,0.9898000001907349,0.03324294099584222
33,0.9941666642824809,0.9941666642824809,0.021588788911079366,0.9897000014781951,0.9897000014781951,0.033203945588320495
34,0.9941333264112473,0.9941333264112473,0.02154208191980918,0.9897999942302704,0.9897999942302704,0.03317790878936648
35,0.9940999935070673,0.9940999935070673,0.02149474200171729,0.9897000074386597,0.9897000074386597,0.03326637055724859
36,0.9942166596651077,0.9942166596651077,0.021449278745179375,0.9898000061511993,0.9898000061511993,0.03316997652873397
37,0.994149993856748,0.994149993856748,0.02139083215345939,0.9894999980926513,0.9894999980926513,0.033251311723142864
38,0.9941999971866607,0.9941999971866607,0.021382815452913442,0.9898000061511993,0.9898000061511993,0.03313132943585515
39,0.9940833290417989,0.9940833290417989,0.02132138948266705,0.9897000014781951,0.9897000014781951,0.033170003443956375
40,0.9942166646321614,0.9942166646321614,0.021292246350397667,0.9897000074386597,0.9897000074386597,0.03314242865890264
41,0.994266664981842,0.994266664981842,0.021243550209328534,0.9897000074386597,0.9897000074386597,0.033202909771353005
42,0.9943166613578797,0.9943166613578797,0.021095116420959435,0.9898000121116638,0.9898000121116638,0.033191272802650926
43,0.9943666636943818,0.9943666636943818,0.021087518194690347,0.9898000121116638,0.9898000121116638,0.03318180209025741
0,0.9943499942620595,0.9943499942620595,0.021081900938103595,0.9897000074386597,0.9897000074386597,0.03317604931071401
1,0.9943333307902018,0.9943333307902018,0.021077583140383164,0.9897000074386597,0.9897000074386597,0.03317063795402646
2,0.9943333357572556,0.9943333357572556,0.021071146676937737,0.9897000014781951,0.9897000014781951,0.03316766265779734
3,0.9943333297967911,0.9943333297967911,0.02106783853378147,0.9898000061511993,0.9898000061511993,0.03316332595422864
4,0.9943333317836126,0.9943333317836126,0.021063243597745897,0.9898000061511993,0.9898000061511993,0.03316101711243391
5,0.9943333278099696,0.9943333278099696,0.021059412059063712,0.9898000061511993,0.9898000061511993,0.03315937276929617
6,0.9943333297967911,0.9943333297967911,0.02105407783140739,0.9898000061511993,0.9898000061511993,0.033158480562269686
7,0.9943499982357025,0.9943499982357025,0.021050101425498725,0.9897000074386597,0.9897000074386597,0.0331560542806983
8,0.9943333347638448,0.9943333347638448,0.021046507094676297,0.9897000074386597,0.9897000074386597,0.0331545677036047
9,0.9943333327770233,0.9943333327770233,0.021041888852293293,0.9897000074386597,0.9897000074386597,0.03315320247784257
10,0.994349996248881,0.994349996248881,0.021037658335020144,0.9897000074386597,0.9897000074386597,0.03315297905355692
11,0.9943333268165588,0.9943333268165588,0.021035058423876762,0.9897000074386597,0.9897000074386597,0.03315370623022318
12,0.994366662700971,0.994366662700971,0.02102936537315448,0.9897000074386597,0.9897000074386597,0.033149898052215576
13,0.9943166673183441,0.9943166673183441,0.02102656300800542,0.9897000074386597,0.9897000074386597,0.03314855182543397
14,0.9943333278099696,0.9943333278099696,0.021021819712283712,0.9897000074386597,0.9897000074386597,0.03315110271796584
15,0.9943333278099696,0.9943333278099696,0.021018476613486808,0.9897000074386597,0.9897000074386597,0.0331502741202712
16,0.9943166613578797,0.9943166613578797,0.02101457756944001,0.9897000074386597,0.9897000074386597,0.03314978117123246
