epoch,acc,binary_accuracy,loss,val_acc,val_binary_accuracy,val_loss
0,0.7507,0.7507,0.5525031457901001,0.9295,0.9295,0.1767517807483673
1,0.82,0.82,0.39848807621002197,0.9375,0.9375,0.1658001880645752
2,0.8288,0.8288,0.37542505502700807,0.941,0.941,0.1571740837097168
3,0.8285,0.8285,0.3812839539051056,0.889,0.889,0.37395916080474856
4,0.8386,0.8386,0.36359839458465576,0.9045,0.9045,0.37478391170501707
