epoch,acc,categorical_accuracy,loss,val_acc,val_categorical_accuracy,val_loss
0,0.7613999971499046,0.7613999971499046,0.7858340685566266,0.8746999979019165,0.8746999979019165,0.39029185473918915
1,0.9106666694084803,0.9106666694084803,0.29323125357429186,0.9286999940872193,0.9286999940872193,0.23538809791207313
2,0.9310500015815099,0.9310500015815099,0.22625860025485356,0.949699991941452,0.949699991941452,0.17245928794145585
3,0.9443833321332932,0.9443833321332932,0.18171609217921894,0.9535999953746795,0.9535999953746795,0.1508527584373951
4,0.9542499969402949,0.9542499969402949,0.15212579431633155,0.9601000010967254,0.9601000010967254,0.13662538602948188
5,0.9590833346048991,0.9590833346048991,0.13452522171040376,0.9545999944210053,0.9545999944210053,0.14525881856679917
6,0.9637333343426386,0.9637333343426386,0.11893200141688189,0.9676000058650971,0.9676000058650971,0.10954252667725087
7,0.9676166693369548,0.9676166693369548,0.1046519889185826,0.9685000061988831,0.9685000061988831,0.10986552387475967
8,0.9711333324511846,0.9711333324511846,0.09325563671688239,0.9689999997615815,0.9689999997615815,0.10197796821594238
9,0.9729166666666667,0.9729166666666667,0.08859666225810846,0.9713999927043915,0.9713999927043915,0.09436264634132385
10,0.9752666632334391,0.9752666632334391,0.07919512633234263,0.9660000026226043,0.9660000026226043,0.11234245300292969
11,0.9777333289384842,0.9777333289384842,0.07169788709531227,0.9725000023841858,0.9725000023841858,0.08701098170131445
12,0.9800333350896835,0.9800333350896835,0.06415080707520246,0.9573000073432922,0.9573000073432922,0.13964293710887432
13,0.9811166644096374,0.9811166644096374,0.06059129523734252,0.964300000667572,0.964300000667572,0.11945146434009075
14,0.9822500010331472,0.9822500010331472,0.056696058623492716,0.9692000031471253,0.9692000031471253,0.10233653634786606
15,0.9898999989032745,0.9898999989032745,0.035398757364600894,0.9751999974250793,0.9751999974250793,0.08255476448684931
16,0.9908666630585988,0.9908666630585988,0.03287770055855314,0.9751999974250793,0.9751999974250793,0.08271107785403728
17,0.9912833293279012,0.9912833293279012,0.03181836859633525,0.9754999995231628,0.9754999995231628,0.08256930951029062
18,0.9916500012079875,0.9916500012079875,0.03090149341151118,0.9751999974250793,0.9751999974250793,0.08160450924187898
19,0.9918833305438359,0.9918833305438359,0.03006055944909652,0.9750999987125397,0.9750999987125397,0.08144339974969625
20,0.9923999945322672,0.9923999945322672,0.029338657312716048,0.9736999988555908,0.9736999988555908,0.0833134526386857
21,0.9925666570663452,0.9925666570663452,0.028615070196489494,0.9749000012874603,0.9749000012874603,0.08219500370323658
22,0.9929666648308436,0.9929666648308436,0.027957673991719882,0.9747999966144562,0.9747999966144562,0.08231430239975453
23,0.993449995915095,0.993449995915095,0.026470162595311802,0.974700003862381,0.974700003862381,0.08186595682054758
24,0.9935833255449931,0.9935833255449931,0.026255024286607902,0.9750000059604644,0.9750000059604644,0.08189597409218549
0,0.9935833305120468,0.9935833305120468,0.02616967398983737,0.9749000072479248,0.9749000072479248,0.08190864957869053
1,0.9935166627168656,0.9935166627168656,0.02610444763364891,0.9749000072479248,0.9749000072479248,0.08195154834538698
2,0.9936499993006388,0.9936499993006388,0.026025750984748203,0.9749000072479248,0.9749000072479248,0.08201402816921473
3,0.9936499953269958,0.9936499953269958,0.025958779950936636,0.9747000098228454,0.9747000098228454,0.08196584600955248
4,0.9937666594982147,0.9937666594982147,0.025771866350745163,0.9748000085353852,0.9748000085353852,0.08196763098239898
5,0.9937333275874456,0.9937333275874456,0.0257626772702982,0.9748000085353852,0.9748000085353852,0.08196952901780605
