epoch,acc,binary_accuracy,loss,val_acc,val_binary_accuracy,val_loss
0,0.7427,0.7427,0.5569017417907715,0.92375,0.92375,0.22519407987594606
1,0.818,0.818,0.39949731540679934,0.87325,0.87325,0.3687564363479614
2,0.8287,0.8287,0.37481884298324586,0.91775,0.91775,0.21429708302021028
3,0.8318,0.8318,0.3787262954711914,0.93825,0.93825,0.20507901096343994
4,0.8372,0.8372,0.36487920236587523,0.93375,0.93375,0.17608847856521606
