epoch,acc,loss,mean_absolute_error,mean_squared_error,val_acc,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.0,552.7997104153775,21.615044801542073,552.7997104153775,0.0,542.3066394282322,21.37950736401128,542.3066394282322
1,0.0,492.6961716755782,20.163126161783048,492.6961716755782,0.0,489.336373721852,20.136003382065716,489.336373721852
2,0.0049504949388527635,438.0467931162013,18.83291777053682,438.0467931162013,0.0,427.59249279545804,18.625473920036764,427.59249279545804
3,0.0,376.0367146104869,17.23487139692401,376.0367146104869,0.0,350.3192294251685,16.661631415872012,350.3192294251685
4,0.0,302.63034118048034,15.230972502491262,302.63034118048034,0.0,272.8835132075291,14.5386448654474,272.8835132075291
5,0.0,231.22015259997679,13.09648601607521,231.22015259997679,0.0,198.42671562643613,12.187456766764322,198.42671562643613
6,0.0024752474694263817,167.20245455751325,10.787681522935923,167.20245455751325,0.0,142.17363454781326,10.176298758562874,142.17363454781326
7,0.0049504949388527635,118.73402263150356,8.741581402202645,118.73402263150356,0.019607842698985457,98.62362177231732,8.328287498623718,98.62362177231732
8,0.0049504949388527635,82.52192085568268,7.0467367219452814,82.52192085568268,0.0,68.29517184986787,6.82916176552866,68.29517184986787
9,0.0,59.45000157497897,5.883867233106406,59.45000157497897,0.0,51.82085276584999,5.771709526286406,51.82085276584999
10,0.0049504949388527635,46.7914347601409,5.129194332821535,46.7914347601409,0.0,43.688751071107156,5.24972697800281,43.688751071107156
11,0.0,39.27826455560061,4.636566367479834,39.27826455560061,0.019607842698985457,37.312109030929264,4.808033251294903,37.312109030929264
12,0.0024752474694263817,33.49239744998441,4.237749581289764,33.49239744998441,0.009803921349492728,34.415978300805186,4.646102503234265,34.415978300805186
13,0.0024752474694263817,29.76193826741511,3.935975147946046,29.76193826741511,0.0,30.018830729465858,4.291339261859071,30.018830729465858
14,0.007425742408279145,26.298853147147906,3.683339482486838,26.298853147147906,0.0,28.06103691400266,4.141357029185576,28.06103691400266
15,0.012376237347131908,23.92600943782542,3.462732937076304,23.92600943782542,0.019607842698985457,27.00143600912655,4.0267494239059145,27.00143600912655
16,0.0024752474694263817,22.46905809817928,3.350932218060635,22.46905809817928,0.0,25.961570365756167,3.895138001909443,25.961570365756167
17,0.007425742408279145,21.085997803376454,3.2215624410327117,21.085997803376454,0.009803921349492728,25.363127465341606,3.7996632912579704,25.363127465341606
18,0.007425742408279145,20.17408603016693,3.119478126563648,20.17408603016693,0.009803921349492728,25.85896499484193,3.8478127320607505,25.85896499484193
19,0.009900989877705527,19.0603079843049,3.0038317559969308,19.0603079843049,0.019607842698985457,25.32026911716835,3.7689283081129488,25.32026911716835
20,0.0049504949388527635,18.2540280606487,2.9409608132768383,18.2540280606487,0.009803921349492728,25.999262454462986,3.824335813522339,25.999262454462986
21,0.007425742408279145,17.492292411256546,2.9028754104482064,17.492292411256546,0.029411764048478183,24.613984612857593,3.6456645703783224,24.613984612857593
22,0.0024752474694263817,16.649763357521284,2.8237597080740597,16.649763357521284,0.029411764048478183,23.228461901346844,3.541479653003169,23.228461901346844
23,0.0049504949388527635,16.104280899066737,2.7776867410924173,16.104280899066737,0.019607842698985457,22.76606542923871,3.514515484080595,22.76606542923871
24,0.007425742408279145,15.530242369906738,2.7214031644386822,15.530242369906738,0.009803921349492728,23.443027346741918,3.5463810855267095,23.443027346741918
25,0.007425742408279145,14.81160569663095,2.657472519591303,14.81160569663095,0.009803921349492728,25.327513376871746,3.669758572297938,25.327513376871746
26,0.0049504949388527635,14.563186206439934,2.680169978944382,14.563186206439934,0.009803921349492728,23.886026101953842,3.5691329497917024,23.886026101953842
27,0.0024752474694263817,14.140775557791832,2.6168757783304346,14.140775557791832,0.009803921349492728,24.182548859540155,3.553998157089832,24.182548859540155
28,0.0049504949388527635,13.578176540903526,2.5416608600333186,13.578176540903526,0.0,23.825306742799047,3.5132727669734582,23.825306742799047
29,0.0049504949388527635,13.401596716134856,2.5356818189715393,13.401596716134856,0.0,23.772547852759267,3.5026302945380117,23.772547852759267
30,0.0049504949388527635,13.345741406525716,2.5299392313060194,13.345741406525716,0.009803921349492728,23.569219720129873,3.4744304862676882,23.569219720129873
31,0.0049504949388527635,13.245683452870587,2.537140142799604,13.245683452870587,0.009803921349492728,23.506290847179937,3.4640236415115058,23.506290847179937
32,0.0049504949388527635,13.189436291704084,2.5232985196727338,13.189436291704084,0.009803921349492728,23.48869622922411,3.46192967190462,23.48869622922411
33,0.0049504949388527635,13.182548334102819,2.522602076577668,13.182548334102819,0.009803921349492728,23.483281939637425,3.4612424046385524,23.483281939637425
