epoch,acc,loss,mean_absolute_error,mean_squared_error,val_acc,val_loss,val_mean_absolute_error,val_mean_squared_error
0,0.0024752474694263817,239.7089030199712,11.903125821953953,239.7089030199712,0.0,83.44528680689194,6.939507054347618,83.44528680689194
1,0.009900989877705527,35.74609406159656,4.37178905411522,35.74609406159656,0.019607842698985457,26.23379856932397,4.127396041271734,26.23379856932397
2,0.007425742408279145,18.83985187039517,3.110653053415884,18.83985187039517,0.019607842698985457,45.87998992321538,5.314238174288881,45.87998992321538
3,0.0,22.782040161661584,3.6369919906748405,22.782040161661584,0.029411764048478183,39.59192541533825,4.879770568772858,39.59192541533825
4,0.007425742408279145,19.367107315818863,3.1801255280428595,19.367107315818863,0.04901960674746364,23.927450254851696,3.526530985738717,23.927450254851696
5,0.01732673228598467,14.724687481870745,2.7141594898582686,14.724687481870745,0.009803921349492728,74.39602302102482,6.518266079472561,74.39602302102482
6,0.019801979755411054,21.227238133402153,3.301933793738337,21.227238133402153,0.0,31.67094795376647,3.9766104735580146,31.67094795376647
7,0.007425742408279145,16.631338974036794,3.1318162467220043,16.631338974036794,0.009803921349492728,23.588060079836378,3.515901635674869,23.588060079836378
8,0.007425742408279145,16.989523613807,3.0776679126342925,16.989523613807,0.029411764267612907,134.3321590049594,8.327381508023132,134.3321590049594
9,0.019801979755411054,21.480626512281965,3.1667011610352165,21.480626512281965,0.029411764048478183,26.07578795563941,3.250407106736127,26.07578795563941
10,0.01732673228598467,12.868719221341728,2.7066308590445187,12.868719221341728,0.0,42.71646738987343,5.211622584099863,42.71646738987343
11,0.0049504949388527635,20.619144805587165,3.340454598464588,20.619144805587165,0.009803921349492728,26.09127607532576,3.7532234939874387,26.09127607532576
12,0.0272277221636902,11.71473478798819,2.430976736073447,11.71473478798819,0.0,21.67180399801217,3.182194462009505,21.67180399801217
13,0.03217821710254296,9.527121333792659,2.163089645381021,9.527121333792659,0.03921568539797091,20.88413029091031,3.008219475839652,20.88413029091031
14,0.02970296963311658,9.10208264907988,2.1350097538221,9.10208264907988,0.03921568539797091,22.155257599026548,3.07690336190018,22.155257599026548
15,0.022277227224837437,9.03335182029422,2.1687093288591592,9.03335182029422,0.03921568539797091,21.0090830746819,2.9953530863219617,21.0090830746819
16,0.024752474694263817,9.013804759129439,2.154711944041866,9.013804759129439,0.03921568539797091,21.571773884343166,2.9936889526890775,21.571773884343166
